name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
The Blue Lagoon,R,Adventure,1980,"July 2, 1980 (United States)",5.8,65000.0,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,4500000.0,58853106.0,Columbia Pictures,104.0
The Blue Lagoon,R,Adventure,1980,"July 2, 1980 (United States)",5.8,65000.0,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,4500000.0,58853106.0,Columbia Pictures,104.0
The Gods Must Be Crazy,PG,Adventure,1980,"October 26, 1984 (United States)",7.3,54000.0,Jamie Uys,Jamie Uys,N!xau,South Africa,5000000.0,30031783.0,C.A.T. Films,109.0
Popeye,PG,Adventure,1980,"December 12, 1980 (United States)",5.3,30000.0,Robert Altman,Jules Feiffer,Robin Williams,United States,20000000.0,49823037.0,Paramount Pictures,114.0
Heaven's Gate,R,Adventure,1980,"April 24, 1981 (United States)",6.8,14000.0,Michael Cimino,Michael Cimino,Kris Kristofferson,United States,44000000.0,3484523.0,Partisan Productions,219.0
Herbie Goes Bananas,G,Adventure,1980,"June 25, 1980 (United States)",5.0,5300.0,Vincent McEveety,Don Tait,Charles Martin Smith,United States,,18000000.0,Walt Disney Productions,100.0
The Last Flight of Noah's Ark,G,Adventure,1980,"June 25, 1980 (United States)",5.8,1300.0,Charles Jarrott,Ernest K. Gann,Elliott Gould,United States,6000000.0,11000000.0,Walt Disney Productions,97.0
Windwalker,PG,Adventure,1980,"November 18, 1983 (Sweden)",6.9,1000.0,Kieth Merrill,Ray Goldrup,Trevor Howard,United States,3000000.0,,Santa Fe International,108.0
Excalibur,R,Adventure,1981,"April 10, 1981 (United States)",7.4,59000.0,John Boorman,Thomas Malory,Nigel Terry,United Kingdom,11000000.0,34971136.0,Cinema '84,140.0
Das Boot,,Adventure,1981,"February 10, 1982 (United States)",8.3,237000.0,Wolfgang Petersen,Wolfgang Petersen,JÃ¼rgen Prochnow,West Germany,,11487676.0,Bavaria Film,149.0
Time Bandits,PG,Adventure,1981,"November 6, 1981 (United States)",7.0,60000.0,Terry Gilliam,Michael Palin,Sean Connery,United Kingdom,5000000.0,42368025.0,HandMade Films,110.0
Tarzan the Ape Man,Approved,Adventure,1981,"July 24, 1981 (United States)",3.4,5300.0,John Derek,Tom Rowe,Bo Derek,United States,6500000.0,36565280.0,Metro-Goldwyn-Mayer (MGM),115.0
Quest for Fire,R,Adventure,1981,"February 12, 1982 (United States)",7.3,21000.0,Jean-Jacques Annaud,GÃ©rard Brach,Everett McGill,Canada,12500000.0,20962615.0,International Cinema Corporation (ICC),100.0
Gallipoli,PG,Adventure,1981,"August 28, 1981 (United States)",7.4,38000.0,Peter Weir,David Williamson,Mel Gibson,Australia,,5732587.0,R&R Films,110.0
The Great Muppet Caper,G,Adventure,1981,"June 26, 1981 (United States)",7.2,14000.0,Jim Henson,Tom Patchett,Jim Henson,United Kingdom,,31206251.0,Henson Associates (HA),97.0
Sphinx,PG,Adventure,1981,"February 11, 1981 (United States)",5.2,1300.0,Franklin J. Schaffner,John Byrum,Lesley-Anne Down,United Kingdom,14000000.0,2022771.0,Orion Pictures,118.0
Back Roads,R,Adventure,1981,"March 13, 1981 (United States)",5.6,829.0,Martin Ritt,Gary DeVore,Sally Field,United States,,11809387.0,CBS Theatrical Films,94.0
The Pursuit of D.B. Cooper,PG,Adventure,1981,"November 13, 1981 (United States)",5.6,1100.0,Roger Spottiswoode,J.D. Reed,Robert Duvall,United States,12000000.0,3702028.0,PolyGram Pictures,100.0
Le Pont du Nord,Not Rated,Adventure,1981,"March 24, 1982 (France)",6.9,1100.0,Jacques Rivette,Bulle Ogier,Bulle Ogier,France,,17110.0,Les Films du Losange,129.0
Paradise,R,Adventure,1982,"May 7, 1982 (United States)",4.9,2500.0,Stuart Gillard,Stuart Gillard,Willie Aames,Canada,,5588800.0,Embassy Pictures,100.0
The Man from Snowy River,PG,Adventure,1982,"November 5, 1982 (United States)",7.3,8200.0,George Miller,A.B. 'Banjo' Paterson,Kirk Douglas,Australia,3500000.0,20659423.0,Cambridge Productions,102.0
The Dark Crystal,PG,Adventure,1982,"December 17, 1982 (United States)",7.2,63000.0,Jim Henson,David Odell,Jim Henson,United Kingdom,15000000.0,41630431.0,Incorporated Television Company (ITC),93.0
National Lampoon's Vacation,R,Adventure,1983,"July 29, 1983 (United States)",7.4,100000.0,Harold Ramis,John Hughes,Chevy Chase,United States,15000000.0,61399552.0,National Lampoon,98.0
Jaws 3-D,PG,Adventure,1983,"July 22, 1983 (United States)",3.7,41000.0,Joe Alves,Peter Benchley,Dennis Quaid,United States,20500000.0,87987055.0,Universal Pictures,99.0
The Right Stuff,PG,Adventure,1983,"February 17, 1984 (United States)",7.8,57000.0,Philip Kaufman,Philip Kaufman,Sam Shepard,United States,27000000.0,21192315.0,The Ladd Company,193.0
Sahara,PG,Adventure,1983,"March 2, 1984 (United States)",5.0,1500.0,Andrew V. McLaglen,Menahem Golan,Brooke Shields,United Kingdom,25000000.0,1402962.0,Cabal Film,111.0
High Road to China,PG,Adventure,1983,"March 18, 1983 (United States)",6.1,5100.0,Brian G. Hutton,Jon Cleary,Tom Selleck,United States,19000000.0,28445927.0,City Films,105.0
Never Cry Wolf,PG,Adventure,1983,"January 27, 1984 (United States)",7.5,7800.0,Carroll Ballard,Farley Mowat,Charles Martin Smith,United States,,29600000.0,Walt Disney Pictures,105.0
Hercules,PG,Adventure,1983,"August 26, 1983 (United States)",4.0,3600.0,Luigi Cozzi,Luigi Cozzi,Lou Ferrigno,Italy,2500000.0,10676194.0,Cannon Films Inc.,98.0
The Wicked Lady,R,Adventure,1983,"October 28, 1983 (United States)",4.7,1100.0,Michael Winner,Leslie Arliss,Faye Dunaway,United Kingdom,8000000.0,724912.0,Golan-Globus Productions,98.0
The Black Stallion Returns,PG,Adventure,1983,"March 25, 1983 (United States)",6.0,2100.0,Robert Dalva,Walter Farley,Kelly Reno,United States,,12049514.0,Zoetrope Studios,103.0
The NeverEnding Story,PG,Adventure,1984,"July 20, 1984 (United States)",7.4,135000.0,Wolfgang Petersen,Wolfgang Petersen,Noah Hathaway,West Germany,27000000.0,20251411.0,Constantin Film,102.0
The Bounty,PG,Adventure,1984,"May 4, 1984 (United States)",7.0,25000.0,Roger Donaldson,Robert Bolt,Mel Gibson,United Kingdom,25000000.0,8613462.0,Dino De Laurentiis Company,132.0
The Adventures of Buckaroo Banzai Across the 8th Dimension,PG,Adventure,1984,"October 5, 1984 (Canada)",6.4,25000.0,W.D. Richter,Earl Mac Rauch,Peter Weller,United States,,6254148.0,Sherwood Productions,103.0
2010: the Year We Make Contact,PG,Adventure,1984,"December 7, 1984 (United States)",6.8,50000.0,Peter Hyams,Arthur C. Clarke,Roy Scheider,United States,28000000.0,40400657.0,Metro-Goldwyn-Mayer (MGM),116.0
The Philadelphia Experiment,PG,Adventure,1984,"August 3, 1984 (United States)",6.1,15000.0,Stewart Raffill,Michael Janover,Michael ParÃ©,United States,21000000.0,8103330.0,New World Pictures,102.0
A Passage to India,PG,Adventure,1984,"February 1, 1985 (United States)",7.3,18000.0,David Lean,E.M. Forster,Judy Davis,United Kingdom,16000000.0,27201487.0,EMI Films,164.0
Sheena,PG,Adventure,1984,"August 17, 1984 (United States)",4.9,4600.0,John Guillermin,David Newman,Tanya Roberts,United Kingdom,25000000.0,5778353.0,Colgems Productions Ltd.,117.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,1984,"March 30, 1984 (United States)",6.4,18000.0,Hugh Hudson,Edgar Rice Burroughs,Christopher Lambert,United Kingdom,30000000.0,45858563.0,Warner Bros.,143.0
The Muppets Take Manhattan,G,Adventure,1984,"July 13, 1984 (United States)",6.9,20000.0,Frank Oz,Tom Patchett,Jim Henson,United States,,25534703.0,Henson Associates (HA),94.0
The Warrior and the Sorceress,R,Adventure,1984,"September 7, 1984 (United States)",4.3,1700.0,John C. Broderick,John C. Broderick,David Carradine,United States,,2886225.0,Aries CinematogrÃ¡fica Argentina,81.0
Cut and Run,R,Adventure,1984,"May 2, 1986 (United States)",5.7,2100.0,Ruggero Deodato,Cesare Frugoni,Lisa Blount,Italy,,,Racing Pictures,90.0
The River Rat,PG,Adventure,1984,"September 28, 1984 (United States)",6.3,866.0,Thomas Rickman,Thomas Rickman,Tommy Lee Jones,United States,,1142944.0,Cinema Group Ventures,93.0
Crackers,PG,Adventure,1984,"February 17, 1984 (United States)",5.2,1200.0,Louis Malle,Jeffrey Alan Fiskin,Donald Sutherland,United States,12000000.0,129268.0,Universal Pictures,91.0
The Goonies,PG,Adventure,1985,"June 7, 1985 (United States)",7.8,252000.0,Richard Donner,Chris Columbus,Sean Astin,United States,19000000.0,63980721.0,Warner Bros.,114.0
Back to the Future,PG,Adventure,1985,"July 3, 1985 (United States)",8.5,1100000.0,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,United States,19000000.0,381906762.0,Universal Pictures,116.0
Legend,PG,Adventure,1985,"April 18, 1986 (United States)",6.4,62000.0,Ridley Scott,William Hjortsberg,Tom Cruise,United States,24500000.0,15502112.0,Legend Production Company,94.0
Ladyhawke,PG-13,Adventure,1985,"April 12, 1985 (United States)",7.0,44000.0,Richard Donner,Edward Khmara,Matthew Broderick,United States,20000000.0,18432000.0,Twentieth Century Fox,121.0
Explorers,PG,Adventure,1985,"July 12, 1985 (United States)",6.5,20000.0,Joe Dante,Eric Luke,Ethan Hawke,United States,25000000.0,9873044.0,Paramount Pictures,109.0
Flesh+Blood,R,Adventure,1985,"August 30, 1985 (United States)",6.7,17000.0,Paul Verhoeven,Gerard Soeteman,Rutger Hauer,Netherlands,6500000.0,,Riverside Pictures,126.0
Pee-wee's Big Adventure,PG,Adventure,1985,"August 9, 1985 (United States)",7.0,50000.0,Tim Burton,Phil Hartman,Paul Reubens,United States,6000000.0,40940662.0,Warner Bros.,91.0
National Lampoon's European Vacation,PG-13,Adventure,1985,"July 26, 1985 (United States)",6.2,60000.0,Amy Heckerling,John Hughes,Chevy Chase,United States,17000000.0,49364621.0,National Lampoon,95.0
Spies Like Us,PG,Adventure,1985,"December 6, 1985 (United States)",6.4,45000.0,John Landis,Dan Aykroyd,Chevy Chase,United States,22000000.0,60088980.0,Warner Bros.,102.0
Volunteers,R,Adventure,1985,"August 16, 1985 (United States)",5.5,8900.0,Nicholas Meyer,Keith Critchlow,Tom Hanks,United States,,19875740.0,HBO Pictures,107.0
Young Sherlock Holmes,PG-13,Adventure,1985,"December 4, 1985 (United States)",6.8,20000.0,Barry Levinson,Arthur Conan Doyle,Nicholas Rowe,United States,18000000.0,19739575.0,Amblin Entertainment,109.0
The Journey of Natty Gann,PG,Adventure,1985,"September 27, 1985 (United States)",7.0,5600.0,Jeremy Kagan,Jeanne Rosenberg,Meredith Salenger,United States,,9708373.0,Walt Disney Pictures,101.0
Revolution,PG,Adventure,1985,"December 25, 1985 (United States)",5.3,6500.0,Hugh Hudson,Robert Dillon,Al Pacino,United Kingdom,28000000.0,358574.0,Goldcrest Films International,126.0
Baby: Secret of the Lost Legend,PG,Adventure,1985,"March 22, 1985 (United States)",5.1,3100.0,Bill Norton,Clifford Green,William Katt,United States,,14972297.0,Silver Screen Partners II,95.0
Santa Claus: The Movie,PG,Adventure,1985,"November 27, 1985 (United States)",6.3,12000.0,Jeannot Szwarc,David Newman,Dudley Moore,United Kingdom,50000000.0,23717291.0,GGG,107.0
King David,PG-13,Adventure,1985,"March 29, 1985 (United States)",5.3,2100.0,Bruce Beresford,Andrew Birkin,Richard Gere,United Kingdom,22000000.0,5111099.0,Barclays Mercantile Industrial Finance,114.0
The Aviator,PG,Adventure,1985,"March 15, 1985 (United States)",5.5,1200.0,George Miller,Ernest K. Gann,Christopher Reeve,United States,,1304192.0,United Artists,96.0
Water,PG-13,Adventure,1985,"April 18, 1986 (United States)",6.1,2300.0,Dick Clement,Dick Clement,Michael Caine,United Kingdom,,1256862.0,HandMade Films,115.0
