name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,"May 30, 1980 (United States)",7.3,2900.0,Bill Melendez,Charles M. Schulz,Scott Beach,United States,,2013193.0,Lee Mendelson Film Productions,75.0
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,"May 30, 1980 (United States)",7.3,2900.0,Bill Melendez,Charles M. Schulz,Scott Beach,United States,,2013193.0,Lee Mendelson Film Productions,75.0
The King and the Mockingbird,Not Rated,Animation,1980,"March 19, 1980 (France)",7.9,4800.0,Paul Grimault,Hans Christian Andersen,Jean Martin,France,,167451.0,Les Films Paul Grimault,83.0
The Fox and the Hound,G,Animation,1981,"July 10, 1981 (United States)",7.3,87000.0,Directors,Daniel P. Mannix,Mickey Rooney,United States,12000000.0,63456988.0,Walt Disney Animation Studios,83.0
American Pop,R,Animation,1981,"February 13, 1981 (United States)",7.2,4400.0,Ralph Bakshi,Ronni Kern,Mews Small,United States,1500000.0,,Bakshi Productions,96.0
The Secret of NIMH,G,Animation,1982,"July 16, 1982 (United States)",7.6,37000.0,Don Bluth,Robert C. O'Brien,Elizabeth Hartman,United States,7000000.0,14665733.0,Aurora,82.0
The Last Unicorn,G,Animation,1982,"November 19, 1982 (United States)",7.4,25000.0,Jules Bass,Peter S. Beagle,Jeff Bridges,United Kingdom,3500000.0,6455330.0,Rankin/Bass Productions,92.0
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,G,Animation,1982,"November 19, 1982 (United States)",7.1,1800.0,Directors,John W. Dunn,Mel Blanc,United States,,78350.0,Warner Bros. Animation,74.0
The Wizard of Oz,Not Rated,Animation,1982,"October 6, 1982 (United States)",6.8,352.0,Fumihiko Takayama,Yoshimitsu Banno,Aileen Quinn,United States,,,Alan Enterprises,78.0
Heidi's Song,G,Animation,1982,"November 19, 1982 (United States)",6.3,256.0,Robert Taylor,Joseph Barbera,Lorne Greene,United States,,5124391.0,Hanna-Barbera Productions,94.0
Fire and Ice,PG,Animation,1983,"August 26, 1983 (United States)",6.6,10000.0,Ralph Bakshi,Ralph Bakshi,Randy Norton,United States,1200000.0,760883.0,Polyc International BV,81.0
Rock & Rule,PG,Animation,1983,"July 24, 1987 (United States)",6.5,3400.0,Clive Smith,Patrick Loubert,Don Francks,Canada,8000000.0,30379.0,Nelvana,77.0
NausicaÃ¤ of the Valley of the Wind,,Animation,1984,"November 25, 1987 (United States)",8.1,157000.0,Hayao Miyazaki,Hayao Miyazaki,Sumi Shimamoto,Japan,1000000.0,8736506.0,Nibariki,117.0
The Adventures of Pinocchio,Not Rated,Animation,1984,"June 8, 1984 (United States)",5.1,73.0,Ippei Kuri,Donald Paonessa,Danielle Romeo,United States,,,Century Video Corporation,98.0
The Black Cauldron,PG,Animation,1985,"July 24, 1985 (United States)",6.4,33000.0,Ted Berman,Lloyd Alexander,Grant Bardsley,United States,44000000.0,21288692.0,Walt Disney Pictures,80.0
The Adventures of Mark Twain,G,Animation,1985,"July 26, 1985 (United States)",7.4,2700.0,Will Vinton,Susan Shadburne,James Whitmore,United States,,849915.0,Atlantic,86.0
He-Man and She-Ra: The Secret of the Sword,G,Animation,1985,"March 22, 1985 (United States)",7.3,2600.0,Directors,Larry DiTillio,John Erwin,United States,2000000.0,7660857.0,Filmation Associates,100.0
Starchaser: The Legend of Orin,PG,Animation,1985,"November 22, 1985 (United States)",6.5,2100.0,Steven Hahn,Jeffrey Scott,Joe Colligan,South Korea,15000000.0,3360800.0,Young Sung Production Co.,100.0
The Care Bears Movie,G,Animation,1985,"March 29, 1985 (United States)",5.7,5200.0,Arna Selznick,Peter Sauder,Georgia Engel,Canada,2000000.0,22934622.0,Nelvana,77.0
Rainbow Brite and the Star Stealer,G,Animation,1985,"November 15, 1985 (United States)",6.9,1100.0,Bernard DeyriÃ¨s,Jean Chalopin,Bettina Bush,United States,,4889971.0,DIC Entertainment,85.0
Here Come the Littles,G,Animation,1985,"May 24, 1985 (United States)",6.9,207.0,Bernard DeyriÃ¨s,Heywood Kling,Jimmy Keegan,United States,,6565359.0,ABC Entertainment,72.0
An American Tail,G,Animation,1986,"November 21, 1986 (United States)",6.9,50000.0,Don Bluth,Judy Freudberg,Dom DeLuise,United States,,84542002.0,Universal Pictures,80.0
The Great Mouse Detective,G,Animation,1986,"July 2, 1986 (United States)",7.2,46000.0,Directors,Peter Young,Vincent Price,United States,14000000.0,38625550.0,Walt Disney Pictures,74.0
The Transformers: the Movie,PG,Animation,1986,"August 8, 1986 (United States)",7.3,38000.0,Nelson Shin,Ron Friedman,Orson Welles,United States,6000000.0,5860601.0,Sunbow Productions,84.0
When the Wind Blows,Not Rated,Animation,1986,"March 11, 1988 (United States)",7.7,10000.0,Jimmy T. Murakami,Raymond Briggs,Peggy Ashcroft,United Kingdom,,5274.0,Meltdown Productions,84.0
My Little Pony: The Movie,G,Animation,1986,"June 6, 1986 (United States)",6.0,2500.0,Directors,George Arthur Bloom,Danny DeVito,United States,,5958456.0,Sunbow Productions,86.0
Care Bears Movie II: A New Generation,G,Animation,1986,"March 21, 1986 (United States)",5.5,2200.0,Dale Schott,Peter Sauder,Maxine Miller,Canada,,8540346.0,Nelvana,76.0
The Chipmunk Adventure,G,Animation,1987,"May 22, 1987 (United States)",7.2,5200.0,Janice Karman,Janice Karman,Ross Bagdasarian Jr.,United States,,6804312.0,Bagdasarian Productions,77.0
Gandahar,PG,Animation,1987,"September 20, 1989 (United States)",7.1,4500.0,RenÃ© Laloux,RenÃ© Laloux,Glenn Close,France,,370698.0,Col.Ima.Son,78.0
Who Framed Roger Rabbit,PG,Animation,1988,"June 22, 1988 (United States)",7.7,187000.0,Robert Zemeckis,Gary K. Wolf,Bob Hoskins,United States,70000000.0,329803958.0,Touchstone Pictures,104.0
Akira,R,Animation,1988,"July 16, 1988 (Japan)",8.0,171000.0,Katsuhiro Ãtomo,Katsuhiro Ãtomo,Mitsuo Iwata,Japan,,2562351.0,Akira Committee Company Ltd.,124.0
My Neighbor Totoro,G,Animation,1988,"July 13, 1990 (United States)",8.2,304000.0,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,Japan,3700000.0,30550920.0,Tokuma Japan Communications,86.0
The Land Before Time,G,Animation,1988,"November 18, 1988 (United States)",7.4,82000.0,Don Bluth,Stu Krieger,Pat Hingle,United States,12500000.0,84460846.0,Lucasfilm,69.0
Oliver & Company,G,Animation,1988,"November 18, 1988 (United States)",6.7,45000.0,George Scribner,Jim Cox,Joey Lawrence,United States,31000000.0,74151346.0,Walt Disney Animation Studios,74.0
The Little Mermaid,G,Animation,1989,"November 17, 1989 (United States)",7.6,244000.0,Ron Clements,John Musker,Jodi Benson,United States,40000000.0,211343479.0,Walt Disney Pictures,83.0
All Dogs Go to Heaven,G,Animation,1989,"November 17, 1989 (United States)",6.8,38000.0,Don Bluth,Don Bluth,Dom DeLuise,Ireland,13800000.0,27100027.0,Goldcrest Films International,84.0
Little Nemo: Adventures in Slumberland,G,Animation,1989,"August 21, 1992 (United States)",7.1,7000.0,Masami Hata,Chris Columbus,Gabriel Damon,Japan,35000000.0,1368000.0,TMS Entertainment,85.0
Happily Ever After,G,Animation,1989,"May 28, 1993 (United States)",5.6,2200.0,John Howley,Martha Moran,Edward Asner,United States,,3299382.0,Filmation Associates,75.0
The Rescuers Down Under,G,Animation,1990,"November 16, 1990 (United States)",6.9,40000.0,Hendel Butoy,Jim Cox,Bob Newhart,United States,30000000.0,27931461.0,Silver Screen Partners IV,77.0
DuckTales the Movie: Treasure of the Lost Lamp,G,Animation,1990,"August 3, 1990 (United States)",6.9,26000.0,Bob Hathcock,Alan Burnett,Alan Young,France,,18115724.0,Disney Television Animation,74.0
Jetsons: The Movie,G,Animation,1990,"July 6, 1990 (United States)",5.6,4900.0,Joseph Barbera,Dennis Marks,George O'Hanlon,United States,,20305841.0,Hanna-Barbera Productions,82.0
Beauty and the Beast,G,Animation,1991,"November 22, 1991 (United States)",8.0,424000.0,Gary Trousdale,Linda Woolverton,Paige O'Hara,United States,25000000.0,424967620.0,Walt Disney Pictures,84.0
Only Yesterday,PG,Animation,1991,"February 26, 2016 (United States)",7.6,29000.0,Isao Takahata,Hotaru Okamoto,Miki Imai,Japan,,545825.0,Nippon Television Network (NTV),118.0
An American Tail: Fievel Goes West,G,Animation,1991,"November 22, 1991 (United States)",6.5,24000.0,Phil Nibbelink,Flint Dille,James Stewart,United States,,40766041.0,Universal Pictures,75.0
Rock-A-Doodle,G,Animation,1991,"April 3, 1992 (United States)",6.1,8800.0,Don Bluth,Don Bluth,Glen Campbell,Ireland,18000000.0,11657385.0,Goldcrest Films International,77.0
The Princess and the Goblin,G,Animation,1991,"June 3, 1994 (United States)",6.8,2600.0,JÃ³zsef GÃ©mes,Robin Lyons,Claire Bloom,United Kingdom,10000000.0,2105078.0,Siriol Productions,82.0
