name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
D.O.A.,R,Mystery,1988,"March 18, 1988 (United States)",6.2,9700.0,Annabel Jankel,Charles Edward Pogue,Dennis Quaid,United States,,12706478.0,Bigelow Productions,96.0
D.O.A.,R,Mystery,1988,"March 18, 1988 (United States)",6.2,9700.0,Annabel Jankel,Charles Edward Pogue,Dennis Quaid,United States,,12706478.0,Bigelow Productions,96.0
Presumed Innocent,R,Mystery,1990,"July 27, 1990 (United States)",6.9,39000.0,Alan J. Pakula,Scott Turow,Harrison Ford,United States,22000000.0,221303188.0,Warner Bros.,127.0
Mortal Thoughts,R,Mystery,1991,"April 19, 1991 (United States)",5.7,8400.0,Alan Rudolph,William Reilly,Demi Moore,United States,8000000.0,18784957.0,Columbia Pictures,103.0
Liebestraum,R,Mystery,1991,November 1991 (United States),5.9,1500.0,Mike Figgis,Mike Figgis,Kevin Anderson,United States,6900000.0,133645.0,Initial Entertainment Group (IEG),112.0
Defenseless,R,Mystery,1991,"August 23, 1991 (United States)",5.6,815.0,Martin Campbell,James Cresson,Barbara Hershey,United States,,6413375.0,New Visions Pictures,104.0
Ruby Cairo,PG-13,Mystery,1992,"October 29, 1993 (United States)",5.0,2100.0,Graeme Clifford,Robert Dillon,Andie MacDowell,United States,24000000.0,608866.0,Majestic Films International,90.0
Color of Night,R,Mystery,1994,"August 19, 1994 (United States)",5.2,23000.0,Richard Rush,Billy Ray,Bruce Willis,United States,40000000.0,19726050.0,Cinergi Pictures Entertainment,121.0
12 Monkeys,R,Mystery,1995,"January 5, 1996 (United States)",8.0,589000.0,Terry Gilliam,Chris Marker,Bruce Willis,United States,29000001.0,168839459.0,Universal Pictures,129.0
The Arrival,PG-13,Mystery,1996,"May 31, 1996 (United States)",6.2,34000.0,David Twohy,David Twohy,Charlie Sheen,United States,25000000.0,14063331.0,Live Entertainment,115.0
Lost Highway,R,Mystery,1997,"January 15, 1997 (France)",7.6,134000.0,David Lynch,David Lynch,Bill Pullman,France,15000000.0,3703548.0,CiBy 2000,134.0
The Ninth Gate,R,Mystery,1999,"March 10, 2000 (United States)",6.7,172000.0,Roman Polanski,Arturo P̩rez-Reverte,Johnny Depp,France,38000000.0,58401898.0,Artisan Entertainment,133.0
The Thirteenth Floor,R,Mystery,1999,"May 28, 1999 (United States)",7.1,69000.0,Josef Rusnak,Daniel F. Galouye,Craig Bierko,United States,16000000.0,18564088.0,Columbia Pictures,100.0
Memento,R,Mystery,2000,"May 25, 2001 (United States)",8.4,1200000.0,Christopher Nolan,Christopher Nolan,Guy Pearce,United States,9000000.0,40047078.0,Newmarket Capital Group,113.0
Identity,R,Mystery,2003,"April 25, 2003 (United States)",7.3,233000.0,James Mangold,Michael Cooney,John Cusack,United States,28000000.0,90259536.0,Columbia Pictures,90.0
In the Cut,R,Mystery,2003,"October 31, 2003 (United States)",5.3,22000.0,Jane Campion,Jane Campion,Meg Ryan,United Kingdom,12000000.0,23726793.0,Screen Gems,119.0
The Da Vinci Code,PG-13,Mystery,2006,"May 19, 2006 (United States)",6.6,410000.0,Ron Howard,Akiva Goldsman,Tom Hanks,United States,125000000.0,760006945.0,Columbia Pictures,149.0
Shutter Island,R,Mystery,2010,"February 19, 2010 (United States)",8.2,1200000.0,Martin Scorsese,Laeta Kalogridis,Leonardo DiCaprio,United States,80000000.0,294805697.0,Paramount Pictures,138.0
Super 8,PG-13,Mystery,2011,"June 10, 2011 (United States)",7.0,343000.0,J.J. Abrams,J.J. Abrams,Elle Fanning,United States,50000000.0,260095986.0,Paramount Pictures,112.0
Kahaani,Not Rated,Mystery,2012,"March 9, 2012 (India)",8.1,59000.0,Sujoy Ghosh,Sujoy Ghosh,Vidya Balan,India,,459234.0,Boundscript,122.0
The Loft,R,Mystery,2014,"January 30, 2015 (United States)",6.3,53000.0,Erik Van Looy,Bart De Pauw,Karl Urban,Belgium,14000000.0,11020402.0,Open Road Films,108.0
