name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Eye of the Needle,R,Romance,1981,"July 24, 1981 (United States)",7.1,9900.0,Richard Marquand,Ken Follett,Donald Sutherland,United Kingdom,,17583634.0,Kings Road Entertainment,112.0
Eye of the Needle,R,Romance,1981,"July 24, 1981 (United States)",7.1,9900.0,Richard Marquand,Ken Follett,Donald Sutherland,United Kingdom,,17583634.0,Kings Road Entertainment,112.0
Starman,PG,Romance,1984,"December 14, 1984 (United States)",7.0,44000.0,John Carpenter,Bruce A. Evans,Jeff Bridges,United States,22000000.0,28744356.0,Columbia Pictures,115.0
36 fillette,,Romance,1988,"January 6, 1989 (United States)",6.0,1200.0,Catherine Breillat,Catherine Breillat,Delphine Zentout,France,,,CB Films,88.0
Love Crimes,R,Romance,1992,"January 24, 1992 (United States)",4.2,874.0,Lizzie Borden,Allan Moyle,Sean Young,United Kingdom,,2287928.0,Sovereign Pictures,90.0
L'ennui,,Romance,1998,"December 16, 1998 (France)",6.1,2000.0,CÃ©dric Kahn,CÃ©dric Kahn,Charles Berling,France,,,Gemini Films,122.0
The Piano Player,Not Rated,Romance,1999,"October 21, 1999 (Germany)",7.8,7400.0,Rolf SchÃ¼bel,Ruth Toma,Joachim KrÃ³l,Germany,,646532.0,Studio Hamburg Filmproduktion,112.0
The House of Mirth,PG,Romance,2000,"October 13, 2000 (United Kingdom)",7.0,7200.0,Terence Davies,Edith Wharton,Gillian Anderson,United Kingdom,10000000.0,5164404.0,Three Rivers Production,135.0
Love's Labour's Lost,PG,Romance,2000,"March 31, 2000 (United Kingdom)",6.0,4400.0,Kenneth Branagh,William Shakespeare,Alessandro Nivola,United Kingdom,13000000.0,299792.0,PathÃ© Pictures International,93.0
Passengers,PG-13,Romance,2008,"September 26, 2008 (Spain)",5.9,35000.0,Rodrigo GarcÃ­a,Ronnie Christensen,Anne Hathaway,United States,25000000.0,5798974.0,TriStar Pictures,93.0
The Adjustment Bureau,PG-13,Romance,2011,"March 4, 2011 (United States)",7.0,248000.0,George Nolfi,George Nolfi,Matt Damon,United States,50200000.0,127869379.0,Universal Pictures,106.0
